year,month,MAI_composite,engagement,participation,infrastructure
2020,apr,100,100,100,100
2020,may,101.36,102.65,100.55,100
2020,jun,100.94,100.98,100.89,100
2020,jul,101.56,102.13,101.18,100
2020,aug,101.46,101.86,101.19,100
2020,sep,99.76000000000001,96.73,101.62,100
2020,oct,101.05,101.57,100.7,100
2020,nov,99.48,97.70999999999999,100.57,100
2020,dec,99.38,97.34999999999999,100.63,100
2021,jan,101,97.7,101.27,102.09
2021,feb,101.99,100.46,101.16,102.09
2021,mar,101.96,100.5,101.08,102.09
2021,apr,101.55,100.79,100.26,102.09
2021,may,101.75,100.76,100.59,102.09
2021,jun,101.63,100.54,100.54,102.09
2021,jul,101.67,100.64,100.54,102.09
2021,aug,101.48,100.43,100.37,102.09
2021,sep,101.44,100.29,100.39,102.09
2021,oct,103.29,104.85,100.54,102.09
2021,nov,102.94,104.17,100.4,102.09
2021,dec,103.59,105.75,100.46,102.09
2022,jan,104.92,106.7,100.73,103.64
2022,feb,104.25,104.82,100.81,103.64
2022,mar,105.01,107.26,100.54,103.64
2022,apr,115.45,134.58,100.46,103.64
2022,may,115.06,133.81,100.3,103.64
2022,jun,108.65,117.2,100.25,103.64
2022,jul,104.77,106.74,100.47,103.64
2022,aug,109.61,119.41,100.43,103.64
2022,sep,108.48,116.57,100.37,103.64
2022,oct,108.42,116.45,100.34,103.64
2022,nov,104.03,105.02,100.35,103.64
2022,dec,103.56,103.61,100.46,103.64
2023,jan,103.42,103.11,100.53,103.64
2023,feb,104.39,105.62,100.56,103.64
2023,mar,103.85,104.57,100.34,103.64
2023,apr,102.95,102.98,99.87000000000001,103.64
2023,may,102.71,102.11,100.02,103.64
2023,jun,102.24,100.97,99.97,103.64
2023,jul,102.45,100.96,100.3,103.64
2023,aug,103.32,102.76,100.6,103.64
2023,sep,103.5,103.7,100.31,103.64
