year,month,cbsa,cbsaName,MAI_composite,engagement,participation,infrastructure
2020,apr,10100,"Aberdeen, SD",102.09,108.97,95.36,102.81
2020,apr,10140,"Aberdeen, WA",97.93000000000001,97.33,98.67,99.72
2020,apr,10180,"Abilene, TX",99.94,98.47,99.47,101.77
2020,apr,10220,"Ada, OK",99.81,98.95999999999999,100.2,100.2
2020,apr,10300,"Adrian, MI",103.13,103.63,100.04,103.23
2020,apr,10420,"Akron, OH",102.9,98.37000000000001,101.48,105.13
2020,apr,10460,"Alamogordo, NM",110.14,135.1,96.09999999999999,96.89
2020,apr,10500,"Albany, GA",96.58,97.74,98.63,96.81
2020,apr,10540,"Albany-Lebanon, OR",102.37,98.67,101.79,103.46
2020,apr,10580,"Albany-Schenectady-Troy, NY",105.31,96.28,102.81,109.86
2020,apr,10620,"Albemarle, NC",93.81999999999999,84.52,101.08,98.81
2020,apr,10660,"Albert Lea, MN",97.25,97.88,98.93000000000001,97.63
2020,apr,10700,"Albertville, AL",96.69,100.12,98.06,95.84
2020,apr,10740,"Albuquerque, NM",101.92,97.31,100.52,105.26
2020,apr,10760,"Alexander City, AL",91.31,91,98.12000000000001,92.45999999999999
2020,apr,10780,"Alexandria, LA",98.69,103.3,99.93000000000001,94.88
2020,apr,10820,"Alexandria, MN",104.47,103,101.47,104.54
2020,apr,10860,"Alice, TX",83.22,98.81,95.76000000000001,73.31
2020,apr,10900,"Allentown-Bethlehem-Easton, PA-NJ",101.81,95.87000000000001,101.73,104.66
2020,apr,10940,"Alma, MI",92.95,98.38,93.55,95.55
2020,apr,10980,"Alpena, MI",97.74,101.73,98.36,96.26000000000001
2020,apr,11020,"Altoona, PA",98.56,102.14,99.13,96.56999999999999
2020,apr,11060,"Altus, OK",96.84999999999999,95.7,96.69,101.41
2020,apr,11100,"Amarillo, TX",101.45,97.59,99.98,104.8
2020,apr,11140,"Americus, GA",100.09,109.06,99.81999999999999,93.2
2020,apr,11180,"Ames, IA",109.79,105.17,99.49,115.76
2020,apr,11220,"Amsterdam, NY",94.97,96.39,98.56,94.81
2020,apr,11260,"Anchorage, AK",107.48,96.45,103.06,113.68
2020,apr,11380,"Andrews, TX",96.05,100.9,94.09,98.97
2020,apr,11420,"Angola, IN",103.1,104.11,100.67,101.98
2020,apr,11460,"Ann Arbor, MI",111.24,95.88,103.76,120.62
2020,apr,11500,"Anniston-Oxford, AL",97.05,99.77,98.55,96.22
2020,apr,11540,"Appleton, WI",103.78,99.44,100.02,107.85
2020,apr,11580,"Arcadia, FL",84.28,96.45999999999999,101.56,69.95999999999999
2020,apr,11620,"Ardmore, OK",96.14,95.67,99.13,96.97
2020,apr,11660,"Arkadelphia, AR",96.58,102.93,97.02,94.70999999999999
2020,apr,11700,"Asheville, NC",105.1,98.76000000000001,105.43,104.19
2020,apr,11740,"Ashland, OH",104.26,113.71,100.59,96.7
2020,apr,11780,"Ashtabula, OH",92.79000000000001,95.06,98.31999999999999,91.88
2020,apr,11820,"Astoria, OR",105.59,102.06,103.7,104.68
2020,apr,11860,"Atchison, KS",95.59,102.87,97.40000000000001,92.31999999999999
2020,apr,11900,"Athens, OH",102.15,102.33,99.17,103.4
2020,apr,11940,"Athens, TN",95.54000000000001,99.89,100.65,90.52
2020,apr,11980,"Athens, TX",94.70999999999999,94.64,99.8,94.13
2020,apr,12020,"Athens-Clarke County, GA",104.6,97.54000000000001,102.19,108.24
2020,apr,12060,"Atlanta-Sandy Springs-Alpharetta, GA",108.22,96.7,105.09,112.36
2020,apr,12100,"Atlantic City-Hammonton, NJ",102.11,97.73,100.85,104.88
2020,apr,12120,"Atmore, AL",89.38,113.23,96.09,73.52
2020,apr,12140,"Auburn, IN",96.5,94.78,98.47,99.2
2020,apr,12180,"Auburn, NY",99.56,97.26000000000001,100.8,100.3
2020,apr,12220,"Auburn-Opelika, AL",104.15,98.84999999999999,99.72,109.43
2020,apr,12260,"Augusta-Richmond County, GA-SC",100.7,97.64,101.33,101.58
2020,apr,12300,"Augusta-Waterville, ME",99.02,96.33,98.02,103.49
2020,apr,12380,"Austin, MN",101.11,105.78,98,100.11
2020,apr,12420,"Austin-Round Rock-Georgetown, TX",110.84,96.68000000000001,106.86,115.3
2020,apr,12460,"Bainbridge, GA",82.59,93.51000000000001,98.22,73.2
2020,apr,12540,"Bakersfield, CA",95.17,94.56,99.53,95.43000000000001
2020,apr,12580,"Baltimore-Columbia-Towson, MD",107.55,98.58,103.8,111.18
2020,apr,12620,"Bangor, ME",104.22,108.92,97.17,104.75
2020,apr,12660,"Baraboo, WI",102.55,104,99.86,102
2020,apr,12680,"Bardstown, KY",95.69,91.63,98.26000000000001,100.38
2020,apr,12700,"Barnstable Town, MA",106.75,93.89,102.67,114.76
2020,apr,12740,"Barre, VT",107.31,102.2,103.17,108.64
2020,apr,12780,"Bartlesville, OK",104.7,105.27,102.43,101.98
2020,apr,12860,"Batavia, NY",103.25,105.34,100.81,101.11
2020,apr,12900,"Batesville, AR",97.20999999999999,109.43,96.48,91.44
