year,month,state,stateName,MAI_composite,engagement,participation,infrastructure
2020,apr,1,Alabama,93.81999999999999,98.51000000000001,97.09,92.74
2020,apr,2,Alaska,103.08,97.94,100.44,106.92
2020,apr,4,Arizona,100.73,95.61,103.39,100.59
2020,apr,5,Arkansas,94.90000000000001,100.18,97.75,92.79000000000001
2020,apr,6,California,102.62,99.28,102.9,102.08
2020,apr,8,Colorado,105.35,101.45,101.66,107.19
2020,apr,9,Connecticut,98.55,95.77,97.90000000000001,102.88
2020,apr,10,Delaware,105.26,103.95,104.61,101.62
2020,apr,11,District of Columbia,108.34,99.92,105.13,109.91
2020,apr,12,Florida,101.3,96.34,103.86,100.57
2020,apr,13,Georgia,99.95,98.24,101.29,99.66
2020,apr,15,Hawaii,99.7,93.99,101.92,101.58
2020,apr,16,Idaho,101.11,99.22,101.18,101.29
2020,apr,17,Illinois,105.67,111.68,101.55,100.33
2020,apr,18,Indiana,97.69,100.71,98.75,96.53
2020,apr,19,Iowa,99.28,103.05,98.3,98.40000000000001
2020,apr,20,Kansas,100.28,101.47,98.98,100.66
2020,apr,21,Kentucky,95.36,98.88,98.24,94.03
2020,apr,22,Louisiana,95.22,100.9,98.44,92.03
2020,apr,23,Maine,98.24,100.34,96.25,100.87
2020,apr,24,Maryland,104.14,100.8,101.85,105.14
2020,apr,25,Massachusetts,99.5,98.20999999999999,96.52,104.57
2020,apr,26,Michigan,99.92,101.33,99.90000000000001,98.97
2020,apr,27,Minnesota,104.64,106.99,100.34,103.29
2020,apr,28,Mississippi,91.7,97.70999999999999,96.87000000000001,89.51000000000001
2020,apr,29,Missouri,99.39,101.22,99.66,98.34
2020,apr,30,Montana,101.18,101.48,100.32,100.78
2020,apr,31,Nebraska,100.61,101.93,99.14,100.78
2020,apr,32,Nevada,101.2,95.67,104.56,100.05
2020,apr,33,New Hampshire,99.8,97.31,97.01000000000001,105.2
2020,apr,34,New Jersey,98.84,96.97,97.53,102.99
2020,apr,35,New Mexico,95.69,100.82,98.53,92.87000000000001
2020,apr,36,New York,100.01,97.22,101.74,100
2020,apr,37,North Carolina,99.3,98.29000000000001,101.05,98.66
2020,apr,38,North Dakota,100.26,103.41,97.55,100.92
2020,apr,39,Ohio,98.53,100.39,99.18000000000001,97.87000000000001
2020,apr,40,Oklahoma,97.67,99.06999999999999,99.54000000000001,96.76000000000001
2020,apr,41,Oregon,103.24,99.61,102.14,103.95
2020,apr,42,Pennsylvania,99.09999999999999,101.59,99.78,97.34999999999999
2020,apr,44,Rhode Island,96.58,97.70999999999999,96.84,98.93000000000001
2020,apr,45,South Carolina,98.2,99.62000000000001,100.22,96.55
2020,apr,46,South Dakota,102.81,107.27,100.3,99.63
2020,apr,47,Tennessee,96.67,98.09999999999999,100.06,94.94
2020,apr,48,Texas,99.12000000000001,97.17,101.11,99.06999999999999
2020,apr,49,Utah,104.69,96.5,103.52,107.37
2020,apr,50,Vermont,99.74,101.69,96.97,101.88
2020,apr,51,Virginia,102.8,100.09,101.04,104.06
2020,apr,53,Washington,104,100.05,101.91,105.34
2020,apr,54,West Virginia,92.98,99.87000000000001,96.52,90.8
2020,apr,55,Wisconsin,99.63,102.04,99.03,98.95
2020,apr,56,Wyoming,101.65,102.43,99.62000000000001,101.82
2020,may,1,Alabama,95.54000000000001,101.1,98.24,92.74
2020,may,2,Alaska,104.68,100.73,101.28,106.92
2020,may,4,Arizona,101.9,98.44,103.51,100.59
2020,may,5,Arkansas,95.81999999999999,102.68,97.66,92.79000000000001
2020,may,6,California,104.37,102.54,103.68,102.08
2020,may,8,Colorado,107.38,104.25,103.18,107.19
2020,may,9,Connecticut,100.34,100.06,98.11,102.88
2020,may,10,Delaware,106.79,110.74,102.86,101.62
2020,may,11,District of Columbia,109,101.33,105.32,109.91
2020,may,12,Florida,102.74,99.47,104.23,100.57
2020,may,13,Georgia,101.6,101.26,102.06,99.66
2020,may,15,Hawaii,101.05,97.38,101.99,101.58
2020,may,16,Idaho,102.28,101.98,101.34,101.29
2020,may,17,Illinois,107.28,114.16,102.59,100.33
2020,may,18,Indiana,98.55,103.16,98.59999999999999,96.53
2020,may,19,Iowa,99.99,105.03,98.2,98.40000000000001
2020,may,20,Kansas,101.85,103.9,99.99,100.66
2020,may,21,Kentucky,96.06999999999999,99.88,98.77,94.03
2020,may,22,Louisiana,95.75,100.57,99.49,92.03
2020,may,23,Maine,99.26000000000001,103.03,96.22,100.87
2020,may,24,Maryland,105.74,103.53,102.71,105.14
2020,may,25,Massachusetts,100.69,100.86,96.77,104.57
2020,may,26,Michigan,101.57,104.64,100.49,98.97
2020,may,27,Minnesota,103.3,102.9,100.75,103.29
2020,may,28,Mississippi,93.25,100.55,97.58,89.51000000000001
2020,may,29,Missouri,100.64,103.72,100.1,98.34
2020,may,30,Montana,102.2,104.18,100.28,100.78
2020,may,31,Nebraska,101.94,104.53,99.65000000000001,100.78
2020,may,32,Nevada,102.45,98.67,104.69,100.05
2020,may,33,New Hampshire,100.82,100.12,96.90000000000001,105.2
2020,may,34,New Jersey,100.5,99.73,98.48,102.99
2020,may,35,New Mexico,97.02,103.14,99.22,92.87000000000001
2020,may,36,New York,101.45,99.8,102.45,100
2020,may,37,North Carolina,100.49,101.14,101.18,98.66
2020,may,38,North Dakota,102.17,106.35,98.77,100.92
2020,may,39,Ohio,99.69,102.78,99.55,97.87000000000001
2020,may,40,Oklahoma,98.93000000000001,101.8,99.87000000000001,96.76000000000001
2020,may,41,Oregon,104.54,102.31,102.55,103.95
2020,may,42,Pennsylvania,100.64,104.11,100.68,97.34999999999999
2020,may,44,Rhode Island,98.3,100.76,97.7,98.93000000000001
2020,may,45,South Carolina,99.29000000000001,101.98,100.51,96.55
2020,may,46,South Dakota,103.79,109.77,100.33,99.63
2020,may,47,Tennessee,97.81999999999999,100.68,100.3,94.94
2020,may,48,Texas,100.59,100.03,101.69,99.06999999999999
2020,may,49,Utah,105.92,99.7,103.52,107.37
2020,may,50,Vermont,100.74,103.82,97.26000000000001,101.88
2020,may,51,Virginia,104.06,102.94,101.3,104.06
2020,may,53,Washington,105.27,102.49,102.44,105.34
2020,may,54,West Virginia,94.22,102.37,96.95,90.8
2020,may,55,Wisconsin,100.78,104.51,99.33,98.95
2020,may,56,Wyoming,102.63,104.22,100.08,101.82
2020,jun,1,Alabama,95.73,99.67,99.41,92.74
2020,jun,2,Alaska,104,99.06999999999999,101.22,106.92
2020,jun,4,Arizona,101.47,97.08,103.66,100.59
2020,jun,5,Arkansas,95.81999999999999,101.43,98.44,92.79000000000001
2020,jun,6,California,103.56,100.11,103.9,102.08
2020,jun,8,Colorado,106.92,102.81,103.35,107.19
2020,jun,9,Connecticut,99.77,97.98,98.49,102.88
2020,jun,10,Delaware,106.42,107.83,104.07,101.62
2020,jun,11,District of Columbia,108.62,99.84999999999999,105.63,109.91
2020,jun,12,Florida,102.32,97.84999999999999,104.56,100.57
2020,jun,13,Georgia,101.35,99.91,102.49,99.66
2020,jun,15,Hawaii,100.57,95.93000000000001,102.11,101.58
2020,jun,16,Idaho,101.95,100.44,101.77,101.29
2020,jun,17,Illinois,106.48,111.34,103.07,100.33
2020,jun,18,Indiana,98.59999999999999,101.91,99.45999999999999,96.53
2020,jun,19,Iowa,99.95999999999999,104.11,98.73,98.40000000000001
2020,jun,20,Kansas,101.5,102.89,100.07,100.66
2020,jun,21,Kentucky,95.92,99.04000000000001,99.04000000000001,94.03
2020,jun,22,Louisiana,95.77,99.55,100.14,92.03
2020,jun,23,Maine,98.03,100.92,95.56,100.87
2020,jun,24,Maryland,105.59,102.01,103.41,105.14
2020,jun,25,Massachusetts,99.93000000000001,99.59,96.34999999999999,104.57
2020,jun,26,Michigan,101,102.4,100.97,98.97
2020,jun,27,Minnesota,102.63,101.14,100.75,103.29
2020,jun,28,Mississippi,93.41,99.45999999999999,98.52,89.51000000000001
2020,jun,29,Missouri,99.95999999999999,101.74,100.25,98.34
2020,jun,30,Montana,101.77,102.79,100.45,100.78
2020,jun,31,Nebraska,101.36,103.23,99.54000000000001,100.78
2020,jun,32,Nevada,102,97.09999999999999,104.96,100.05
2020,jun,33,New Hampshire,100.14,98.66,96.72,105.2
2020,jun,34,New Jersey,100.29,98.48,98.92,102.99
2020,jun,35,New Mexico,96.75,101.86,99.58,92.87000000000001
2020,jun,36,New York,101.4,98.93000000000001,102.9,100
2020,jun,37,North Carolina,100.42,99.8,101.9,98.66
2020,jun,38,North Dakota,101.8,104.64,99.24,100.92
2020,jun,39,Ohio,99.02,100.57,99.86,97.87000000000001
2020,jun,40,Oklahoma,98.5,100.27,100.13,96.76000000000001
2020,jun,41,Oregon,103.92,100.6,102.62,103.95
2020,jun,42,Pennsylvania,100.25,102.61,100.99,97.34999999999999
2020,jun,44,Rhode Island,97.31,98.78,97.34999999999999,98.93000000000001
2020,jun,45,South Carolina,99.11,100.69,101.01,96.55
2020,jun,46,South Dakota,103.16,108.57,100.05,99.63
2020,jun,47,Tennessee,97.59999999999999,99.27,100.83,94.94
2020,jun,48,Texas,100.21,98.5,102.03,99.06999999999999
2020,jun,49,Utah,105.67,98.62000000000001,103.78,107.37
2020,jun,50,Vermont,100.8,103.01,97.86,101.88
2020,jun,51,Virginia,103.34,100.27,101.81,104.06
2020,jun,53,Washington,104.82,101.34,102.43,105.34
2020,jun,54,West Virginia,93.93000000000001,100.72,97.51000000000001,90.8
2020,jun,55,Wisconsin,100.38,103.25,99.47,98.95
2020,jun,56,Wyoming,102.34,102.82,100.48,101.82
2020,jul,1,Alabama,96.34999999999999,100.53,99.88,92.74
2020,jul,2,Alaska,104.62,100.03,101.61,106.92
2020,jul,4,Arizona,102.2,98.09999999999999,104.2,100.59
2020,jul,5,Arkansas,96.25,102.04,98.74,92.79000000000001
2020,jul,6,California,104.36,101.8,104.13,102.08
2020,jul,8,Colorado,107.19,103.45,103.36,107.19
2020,jul,9,Connecticut,99.79000000000001,97.34,98.91,102.88
2020,jul,10,Delaware,113.2,124.41,104.65,101.62
2020,jul,11,District of Columbia,109.22,100.61,106.11,109.91
2020,jul,12,Florida,102.78,98.8,104.72,100.57
2020,jul,13,Georgia,101.91,100.72,102.9,99.66
2020,jul,15,Hawaii,101.27,97.16,102.47,101.58
2020,jul,16,Idaho,102.28,101.23,101.81,101.29
2020,jul,17,Illinois,107.74,113.97,103.46,100.33
2020,jul,18,Indiana,99.2,103.17,99.64,96.53
2020,jul,19,Iowa,100.47,104.65,99.20999999999999,98.40000000000001
2020,jul,20,Kansas,101.8,103.51,100.15,100.66
2020,jul,21,Kentucky,96.45,99.45999999999999,99.64,94.03
